Gene.ID	g1_g3	g2_g4	g5_g7	g6_g8
ENSMUSG00000000001	96	44	NA	NA
ENSMUSG00000000003	15	37	NA	NA
ENSMUSG00000000028	89	81	NA	NA
ENSMUSG00000000031	36	98	NA	NA
ENSMUSG00000000037	45	54	51	64
ENSMUSG00000000049	29	31	NA	NA
ENSMUSG00000000056	33	34	NA	NA
ENSMUSG00000000058	90	11	NA	NA
ENSMUSG00000000078	41	28	44	83
ENSMUSG00000000085	2	77	4	38
ENSMUSG00000000088	45	54	NA	NA
ENSMUSG00000000093	72	33	NA	NA
ENSMUSG00000000094	27	5	36	69
ENSMUSG00000000103	0	5	NA	NA
ENSMUSG00000000120	7	16	NA	NA
ENSMUSG00000000125	9	4	NA	NA
ENSMUSG00000000126	84	59	95	95
ENSMUSG00000000127	29	37	NA	NA
ENSMUSG00000000131	83	4	NA	NA
ENSMUSG00000000134	NA	NA	77	41
ENSMUSG00000000142	54	34	NA	NA
ENSMUSG00000000148	8	6	NA	NA
ENSMUSG00000000149	84	47	NA	NA
ENSMUSG00000000154	29	20	NA	NA
ENSMUSG00000000157	66	30	38	61
ENSMUSG00000000159	11	30	NA	NA
ENSMUSG00000000167	NA	NA	17	50
ENSMUSG00000000168	93	83	NA	NA
ENSMUSG00000000171	74	82	NA	NA
ENSMUSG00000000182	63	13	NA	NA
ENSMUSG00000000183	39	69	NA	NA
ENSMUSG00000000184	97	49	NA	NA
ENSMUSG00000000194	NA	NA	30	10
ENSMUSG00000000197	NA	NA	12	42
ENSMUSG00000000202	77	13	NA	NA
ENSMUSG00000000204	37	21	NA	NA
ENSMUSG00000000214	51	4	NA	NA
ENSMUSG00000000215	53	3	NA	NA
ENSMUSG00000000216	41	48	NA	NA
ENSMUSG00000000223	NA	NA	68	58
ENSMUSG00000000244	32	37	15	12
ENSMUSG00000000247	31	53	NA	NA
ENSMUSG00000000248	52	19	NA	NA
ENSMUSG00000000253	63	74	NA	NA
ENSMUSG00000000263	23	1	35	79
ENSMUSG00000000266	47	57	NA	NA
