Term	Accession	Genes (tot)	Stat (non-dir.) p	p adj (non-dir.)	Significant..in.gene.set.	Non.significant..in.gene.set.	Significant..not.in.gene.set.	Non.significant..not.in.gene.set.	effect.size
GO:0000002	mitochondrial genome maintenance	  5	0.901559628365078	1	1	4	1620	2746	0.539296730413325
GO:0000027	ribosomal large subunit assembly	  6	0.718815878456455	1	2	4	1619	2746	0.898827884022209
GO:0000045	autophagosome assembly	 19	0.765602332251481	1	6	13	1615	2737	0.851521153284198
GO:0000049	tRNA binding	 19	0.12239547328796	0.710114109470648	10	9	1611	2741	1.41920192214033
GO:0000062	fatty-acyl-CoA binding	  5	0.611006382880356	1	2	3	1619	2747	1.07859346082665
GO:0000070	mitotic sister chromatid segregation	 10	0.0359216204721896	0.448933792822859	7	3	1614	2747	1.88753855644664
GO:0000077	DNA damage checkpoint	  8	0.859928168361515	1	2	6	1619	2744	0.674120913016656
GO:0000079	regulation of cyclin-dependent protein serine/threonine kinase activity	 24	0.0274961452547844	0.448381840769795	14	10	1607	2740	1.57294879703886
GO:0000082	G1/S transition of mitotic cell cycle	 27	0.159992844893303	0.779794768721874	13	14	1608	2736	1.29830694358763
GO:0000086	G2/M transition of mitotic cell cycle	 15	0.149963608006343	0.741132558410753	8	7	1613	2743	1.43812461443553
GO:0000118	histone deacetylase complex	  8	0.621026637444471	1	3	5	1618	2745	1.01118136952498
GO:0000123	histone acetyltransferase complex	  6	1	1	0	6	1621	2744	0
GO:0000132	establishment of mitotic spindle orientation	 13	0.0188434771316733	0.363364088011944	9	4	1612	2746	1.86679637450766
GO:0000146	microfilament motor activity	  5	0.268307979032342	0.874292856505159	3	2	1618	2748	1.61789019123998
GO:0000149	SNARE binding	 18	0.52551977682233	1	7	11	1614	2739	1.04863253135924
GO:0000151	ubiquitin ligase complex	 38	0.998991540652284	1	6	32	1615	2718	0.425760576642099
GO:0000165	MAPK cascade	 25	0.980551739564816	1	5	20	1616	2730	0.539296730413325
GO:0000175	3	  8	1	1	0	8	1621	2742	0
GO:0000176	nuclear exosome (RNase complex)	  7	0.515348610516959	1	3	4	1618	2746	1.1556358508857
GO:0000178	exosome (RNase complex)	  6	0.718815878456455	1	2	4	1619	2746	0.898827884022209
GO:0000184	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	  7	0.800202785632254	1	2	5	1619	2745	0.770423900590465
