Term	Accession	Genes (tot)	Stat (non-dir.) p	p adj (non-dir.)	Significant..in.gene.set.	Non.significant..in.gene.set.	Significant..not.in.gene.set.	Non.significant..not.in.gene.set.	effect.size
IPR000008	C2 domain	10	0.656079206873616	1	2	8	251	941	0.950197628458498
IPR000048	IQ motif, EF-hand binding site	 6	0.370440691616813	1	2	4	251	945	1.5836627140975
IPR000195	Rab-GTPase-TBC domain	 6	0.370440691616813	1	2	4	251	945	1.5836627140975
IPR000198	Rho GTPase-activating protein domain	 8	0.0657603274238016	0.753588007955551	4	4	249	945	2.37549407114625
IPR000210	BTB/POZ domain	20	0.826615934729531	1	3	17	250	932	0.712648221343874
IPR000219	Dbl homology (DH) domain	 7	0.165970623172046	1	3	4	250	945	2.03613777526821
IPR000222	PPM-type phosphatase, divalent cation binding	 5	1	1	0	5	253	944	0
IPR000225	Armadillo	 5	1	1	0	5	253	944	0
IPR000276	G protein-coupled receptor, rhodopsin-like	13	0.794732705806146	1	2	11	251	938	0.730921252660383
IPR000299	FERM domain	 6	0.758609265997673	1	1	5	252	944	0.791831357048748
IPR000306	FYVE zinc finger	 5	1	1	0	5	253	944	0
IPR000387	Tyrosine specific protein phosphatases domain	 5	0.693914503600863	1	1	4	252	945	0.950197628458498
IPR000504	RNA recognition motif domain	18	0.919192888117488	1	2	16	251	933	0.527887571365832
IPR000536	Nuclear hormone receptor, ligand-binding domain	 5	1	1	0	5	253	944	0
IPR000569	HECT domain	 5	0.693914503600863	1	1	4	252	945	0.950197628458498
IPR000571	Zinc finger, CCCH-type	 7	0.809672690498166	1	1	6	252	943	0.67871259175607
IPR000719	Protein kinase domain	43	0.989107105895511	1	4	39	249	910	0.441952385329534
IPR000742	EGF-like domain	 9	0.289479393040653	1	3	6	250	943	1.5836627140975
IPR000859	CUB domain	 5	0.693914503600863	1	1	4	252	945	0.950197628458498
IPR000917	Sulfatase, N-terminal	 5	0.0658874761054034	0.753588007955551	3	2	250	947	2.85059288537549
IPR000961	AGC-kinase, C-terminal	 7	1	1	0	7	253	942	0
IPR000980	SH2 domain	 6	0.111661642029573	1	3	3	250	946	2.37549407114625
IPR001005	SANT/Myb domain	 8	0.849967928409433	1	1	7	252	942	0.593873517786561
IPR001214	SET domain	 7	0.809672690498166	1	1	6	252	943	0.67871259175607
IPR001245	Serine-threonine/tyrosine-protein kinase, catalytic domain	 8	0.849967928409433	1	1	7	252	942	0.593873517786561
IPR001356	Homeobox domain	11	0.184210898037212	1	4	7	249	942	1.72763205174272
IPR001394	Peptidase C19, ubiquitin carboxyl-terminal hydrolase	10	0.906834136732334	1	1	9	252	940	0.475098814229249
IPR001452	SH3 domain	20	0.106317641165622	1	7	13	246	936	1.66284584980237
IPR001478	PDZ domain	16	0.881648974798521	1	2	14	251	935	0.593873517786561
IPR001487	Bromodomain	 8	0.527606025119296	1	2	6	251	943	1.18774703557312
IPR001611	Leucine-rich repeat	17	0.728404113613693	1	3	14	250	935	0.838409672169263
IPR001627	Sema domain	 7	0.45222871899472	1	2	5	251	944	1.35742518351214
IPR001628	Zinc finger, nuclear hormone receptor-type	 5	1	1	0	5	253	944	0
IPR001650	Helicase, C-terminal	 7	0.809672690498166	1	1	6	252	943	0.67871259175607
IPR001660	Sterile alpha motif domain	12	0.75511496243672	1	2	10	251	939	0.791831357048748
IPR001680	WD40 repeat	30	0.993012858045362	1	2	28	251	921	0.316732542819499
IPR001683	Phox homologous domain	 7	1	1	0	7	253	942	0
IPR001715	Calponin homology domain	 7	0.45222871899472	1	2	5	251	944	1.35742518351214
IPR001723	Nuclear hormone receptor	 5	1	1	0	5	253	944	0
IPR001752	Kinesin motor domain	 7	0.45222871899472	1	2	5	251	944	1.35742518351214
IPR001806	Small GTPase	 5	0.693914503600863	1	1	4	252	945	0.950197628458498
IPR001810	F-box domain	 5	0.693914503600863	1	1	4	252	945	0.950197628458498
IPR001841	Zinc finger, RING-type	19	0.0834876398356802	0.898719887642911	7	12	246	937	1.75036405242355
IPR001849	Pleckstrin homology domain	28	0.219922426251502	1	8	20	245	929	1.35742518351214
IPR001881	EGF-like calcium-binding domain	 5	0.284181008421066	1	2	3	251	946	1.900395256917
IPR001909	Krueppel-associated box	16	0.977812152240429	1	1	15	252	934	0.296936758893281
IPR001932	PPM-type phosphatase domain	 5	1	1	0	5	253	944	0
IPR001965	Zinc finger, PHD-type	13	0.794732705806146	1	2	11	251	938	0.730921252660383
IPR002048	EF-hand domain	13	0.537217373904882	1	3	10	250	939	1.09638187899057
IPR002049	Laminin EGF domain	 5	0.284181008421066	1	2	3	251	946	1.900395256917
IPR002110	Ankyrin repeat	24	0.777792859033465	1	4	20	249	929	0.791831357048748
IPR002165	Plexin repeat	 6	0.370440691616813	1	2	4	251	945	1.5836627140975
IPR002219	Protein kinase C-like, phorbol ester/diacylglycerol-binding domain	 5	0.693914503600863	1	1	4	252	945	0.950197628458498
IPR003591	Leucine-rich repeat, typical subtype	 8	0.226096800620993	1	3	5	250	944	1.78162055335968
IPR003593	AAA+ ATPase domain	 5	0.693914503600863	1	1	4	252	945	0.950197628458498
IPR003595	Protein-tyrosine phosphatase, catalytic	 7	0.45222871899472	1	2	5	251	944	1.35742518351214
IPR003598	Immunoglobulin subtype 2	17	0.0142589277449996	0.521876755466984	8	9	245	940	2.2357591257847
IPR003599	Immunoglobulin subtype	24	0.00526425200432775	0.481679058395989	11	13	242	936	2.17753623188406
IPR003961	Fibronectin type III	14	0.0537453449450274	0.753588007955551	6	8	247	941	2.03613777526821
IPR004087	K Homology domain	 7	0.45222871899472	1	2	5	251	944	1.35742518351214
IPR004088	K Homology domain, type 1	 7	0.45222871899472	1	2	5	251	944	1.35742518351214
IPR005225	Small GTP-binding protein domain	 5	1	1	0	5	253	944	0
IPR005821	Ion transport domain	 5	0.693914503600863	1	1	4	252	945	0.950197628458498
IPR006020	PTB/PI domain	 6	0.370440691616813	1	2	4	251	945	1.5836627140975
IPR006553	Leucine-rich repeat, cysteine-containing subtype	 5	1	1	0	5	253	944	0
IPR006652	Kelch repeat type 1	 5	0.693914503600863	1	1	4	252	945	0.950197628458498
IPR007110	Immunoglobulin-like domain	26	0.0108715917661698	0.497375323302266	11	15	242	934	2.01003344481605
IPR008266	Tyrosine-protein kinase, active site	 8	0.849967928409433	1	1	7	252	942	0.593873517786561
IPR008271	Serine/threonine-protein kinase, active site	28	0.989339903155524	1	2	26	251	923	0.339356295878035
IPR008936	Rho GTPase activation protein	12	0.0241235352978899	0.561313391943233	6	6	247	943	2.37549407114625
IPR008979	Galactose-binding-like domain superfamily	 7	0.809672690498166	1	1	6	252	943	0.67871259175607
IPR008984	SMAD/FHA domain superfamily	 5	0.284181008421066	1	2	3	251	946	1.900395256917
IPR009030	Growth factor receptor cysteine-rich domain superfamily	10	0.139178174301995	1	4	6	249	943	1.900395256917
IPR009057	Homeobox-like domain superfamily	19	0.591072816989865	1	4	15	249	934	1.00020802995631
IPR011009	Protein kinase-like domain superfamily	46	0.993667377461132	1	4	42	249	907	0.413129403677608
IPR011011	Zinc finger, FYVE/PHD-type	19	0.933469844949446	1	2	17	251	932	0.500104014978157
IPR011333	SKP1/BTB/POZ domain superfamily	20	0.826615934729531	1	3	17	250	932	0.712648221343874
IPR011598	Myc-type, basic helix-loop-helix (bHLH) domain	 6	0.758609265997673	1	1	5	252	944	0.791831357048748
IPR011705	BTB/Kelch-associated	 6	0.370440691616813	1	2	4	251	945	1.5836627140975
IPR011989	Armadillo-like helical	23	0.351140754444992	1	6	17	247	932	1.23938821103282
IPR011990	Tetratricopeptide-like helical domain superfamily	13	0.794732705806146	1	2	11	251	938	0.730921252660383
IPR011992	EF-hand domain pair	20	0.634768070171601	1	4	16	249	933	0.950197628458498
IPR011993	PH-like domain superfamily	41	0.228000299129969	1	11	30	242	919	1.2746553552492
IPR012340	Nucleic acid-binding, OB-fold	 9	0.595642205713194	1	2	7	251	942	1.05577514273166
IPR012677	Nucleotide-binding alpha-beta plait domain superfamily	21	0.955186159472426	1	2	19	251	930	0.452475061170713
IPR013026	Tetratricopeptide repeat-containing domain	 6	0.758609265997673	1	1	5	252	944	0.791831357048748
IPR013032	EGF-like, conserved site	 9	0.289479393040653	1	3	6	250	943	1.5836627140975
