Term	Accession	Genes (tot)	Stat (non-dir.) p	p adj (non-dir.)	Significant..in.gene.set.	Non.significant..in.gene.set.	Significant..not.in.gene.set.	Non.significant..not.in.gene.set.	effect.size
R-MMU-109581	Apoptosis	 5	0.680448179322958	1	1	4	111	435	0.983928571428571
R-MMU-109582	Hemostasis	27	0.160996734617031	1	8	19	104	420	1.45767195767196
R-MMU-109704	PI3K Cascade	 5	0.680448179322958	1	1	4	111	435	0.983928571428571
R-MMU-111885	Opioid Signalling	 5	1	1	0	5	112	434	0
R-MMU-112310	Neurotransmitter release cycle	 5	0.680448179322958	1	1	4	111	435	0.983928571428571
R-MMU-112314	Neurotransmitter receptors and postsynaptic signal transmission	 6	1	1	0	6	112	433	0
R-MMU-112315	Transmission across Chemical Synapses	12	0.737402118115616	1	2	10	110	429	0.819940476190476
R-MMU-112316	Neuronal System	20	0.808885501175398	1	3	17	109	422	0.737946428571429
R-MMU-112399	IRS-mediated signalling	 6	0.74599727074389	1	1	5	111	434	0.819940476190476
R-MMU-114604	GPVI-mediated activation cascade	 5	0.26907112281918	1	2	3	110	436	1.96785714285714
R-MMU-114608	Platelet degranulation 	 6	0.74599727074389	1	1	5	111	434	0.819940476190476
R-MMU-1257604	PIP3 activates AKT signaling	24	0.754627623774032	1	4	20	108	419	0.819940476190476
R-MMU-1266738	Developmental Biology	25	0.228600563605963	1	7	18	105	421	1.3775
R-MMU-1280215	Cytokine Signaling in Immune system	29	0.737320769904023	1	5	24	107	415	0.848214285714286
R-MMU-1280218	Adaptive Immune System	52	0.93548454755498	1	7	45	105	394	0.662259615384615
R-MMU-141424	Amplification of signal from the kinetochores	 9	0.00307953027377096	0.384949150551431	6	3	106	436	3.2797619047619
R-MMU-141444	Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal	 9	0.00307953027377096	0.384949150551431	6	3	106	436	3.2797619047619
R-MMU-1428517	The citric acid (TCA) cycle and respiratory electron transport	 7	0.798195996756155	1	1	6	111	433	0.70280612244898
R-MMU-1474228	Degradation of the extracellular matrix	 7	0.798195996756155	1	1	6	111	433	0.70280612244898
R-MMU-1474244	Extracellular matrix organization	15	0.617008722286659	1	3	12	109	427	0.983928571428571
R-MMU-1474290	Collagen formation	 6	0.3527027222183	1	2	4	110	435	1.63988095238095
R-MMU-1483206	Glycerophospholipid biosynthesis	 6	0.74599727074389	1	1	5	111	434	0.819940476190476
R-MMU-1483249	Inositol phosphate metabolism	 6	1	1	0	6	112	433	0
R-MMU-1483255	PI Metabolism	11	0.393543607622898	1	3	8	109	431	1.34172077922078
R-MMU-1483257	Phospholipid metabolism	17	0.465736895657049	1	4	13	108	426	1.15756302521008
R-MMU-1500931	Cell-Cell communication	 5	0.26907112281918	1	2	3	110	436	1.96785714285714
R-MMU-157118	Signaling by NOTCH	 5	0.26907112281918	1	2	3	110	436	1.96785714285714
R-MMU-15869	Metabolism of nucleotides	 5	1	1	0	5	112	434	0
R-MMU-159236	Transport of Mature mRNA derived from an Intron-Containing Transcript	 6	0.74599727074389	1	1	5	111	434	0.819940476190476
R-MMU-1630316	Glycosaminoglycan metabolism	11	0.393543607622898	1	3	8	109	431	1.34172077922078
R-MMU-1632852	Macroautophagy	 8	0.839743879776946	1	1	7	111	432	0.614955357142857
R-MMU-163685	Integration of energy metabolism	 7	0.432804914670301	1	2	5	110	434	1.40561224489796
R-MMU-1638091	Heparan sulfate/heparin (HS-GAG) metabolism	 5	0.680448179322958	1	1	4	111	435	0.983928571428571
R-MMU-1640170	Cell Cycle	47	0.0154431979030045	0.403067465268417	16	31	96	408	1.67477203647416
R-MMU-166016	Toll Like Receptor 4 (TLR4) Cascade	 8	0.839743879776946	1	1	7	111	432	0.614955357142857
R-MMU-1660499	Synthesis of PIPs at the plasma membrane	 8	0.507360815610613	1	2	6	110	433	1.22991071428571
R-MMU-166058	MyD88:MAL(TIRAP) cascade initiated on plasma membrane	 7	1	1	0	7	112	432	0
R-MMU-1660661	Sphingolipid de novo biosynthesis	 5	1	1	0	5	112	434	0
R-MMU-166166	MyD88-independent TLR4 cascade 	 6	1	1	0	6	112	433	0
R-MMU-166520	Signaling by NTRKs	 8	0.839743879776946	1	1	7	111	432	0.614955357142857
