Gene ID	Gene Name	Design Element	g1_g3.p-value	g1_g3.t-statistic	g1_g3.log2foldchange	g2_g4.p-value	g2_g4.t-statistic	g2_g4.log2foldchange
ENSMUSG00000000001	Gnai3	1428645_at	0.0568411641079271	2.74748764638626	0.8	0.595728052782441	0.758882589642746	0.1
ENSMUSG00000000003	Pbsn	1449320_at	NA	-0.312893482913961	0	NA	-0.661808039525225	-0.1
ENSMUSG00000000028	Cdc45	1416575_at	0.0396462123647264	3.03080018570484	0.4	0.0667281586921085	-2.49606602461157	-0.2
ENSMUSG00000000031	H19	1448194_a_at	NA	-0.70654880407475	-0.1	9.97026285571081e-05	8.79321801999917	0.7
ENSMUSG00000000037	Scml2	1421514_a_at	NA	0.805436071231166	0.1	NA	-1.23613600605931	-0.1
ENSMUSG00000000049	Apoh	1416677_at	NA	0.486274423096872	0.1	NA	-0.559305796808943	-0.1
ENSMUSG00000000056	Narf	1451678_at	NA	0.707891138234563	0.1	0.737715582913343	0.501857505231687	0.1
ENSMUSG00000000058	Cav2	1417327_at	0.0164640868028289	3.7618820787738	0.5	NA	-0.221340851625219	0
ENSMUSG00000000078	Klf6	1427742_a_at	NA	-0.951955257742663	-0.1	NA	0.531491000331452	0
ENSMUSG00000000085	Scmh1	1426241_a_at	NA	-0.053270136077198	0	NA	2.52150615975634	0.2
ENSMUSG00000000088	Cox5a	1448153_at	NA	-1.00100335673437	-0.1	NA	-1.31750893298908	-0.1
ENSMUSG00000000093	Tbx2	1422545_at	NA	-1.8387422753082	-0.2	0.745483501518649	0.48718017664278	0.1
ENSMUSG00000000094	Tbx4	1426321_at	NA	-0.495022173176634	-0.1	NA	-0.0834563844190123	0
ENSMUSG00000000103	Zfy2	1449978_at	NA	-0.0162731084681023	0	NA	0.117080141080243	0
ENSMUSG00000000120	Ngfr	1454903_at	0.957372514409823	0.0950741293774813	0	0.868797875644023	-0.247654826512045	0
ENSMUSG00000000125	Wnt3	1450763_x_at	NA	0.198669634874404	0	NA	0.0820073267365695	0
ENSMUSG00000000126	Wnt9a	1425889_at	0.175563657214465	-1.8901651540182	-0.4	0.426506554262295	-1.09216328401224	-0.1
ENSMUSG00000000127	Fer	1421729_a_at	NA	-0.587201423553234	-0.1	NA	0.804572393590489	0.1
ENSMUSG00000000131	Xpo6	1422759_a_at	0.0550535206330793	2.77367976988005	0.3	NA	-0.079899693235506	0
ENSMUSG00000000142	Axin2	1436845_at	NA	-0.986675777695135	-0.1	NA	-0.632939383478021	-0.1
ENSMUSG00000000148	Brat1	1452390_at	NA	-0.152009975313879	0	NA	0.127231075014279	0
ENSMUSG00000000149	Gna12	1455008_at	0.0579655048024834	2.73227088258913	0.3	0.561737062295985	0.821119893584719	0.1
ENSMUSG00000000154	Slc22a18	1427531_a_at	NA	-0.495504339989747	-0.1	NA	0.34903756807036	0
ENSMUSG00000000157	Itgb2l	1449829_at	0.369579769540093	-1.28410487396017	-0.2	NA	0.60566602638063	0.1
ENSMUSG00000000159	Igsf5	1451407_at	NA	-0.242702689841511	0	NA	0.611840145565832	0.1
ENSMUSG00000000168	Dlat	1426265_x_at	0.0119985581139819	-4.05621445116005	-0.6	0.0229747566044863	-3.28729719159043	-0.3
ENSMUSG00000000171	Sdhd	1428235_at	NA	2.09644055910078	0.2	0.0717275128490978	2.440789541195	0.2
ENSMUSG00000000182	Fgf23	1422176_at	NA	-1.31741442260266	-0.2	NA	-0.272317946159072	0
ENSMUSG00000000183	Fgf6	1427582_at	NA	-0.810693707891822	-0.1	0.282382926858016	-1.44037604634597	-0.2
ENSMUSG00000000184	Ccnd2	1416122_at	0.000208847338356906	-9.05126033876197	-0.9	NA	-1.21351517278691	-0.1
ENSMUSG00000000202	Btbd17	1428303_at	NA	2.20164827793051	0.3	0.882914686387064	-0.220693544273039	0
ENSMUSG00000000204	Slfn4	1427102_at	NA	-0.862987446366574	-0.1	NA	0.477718924591881	0
ENSMUSG00000000214	Th	1420546_at	NA	-1.04536173287813	-0.1	NA	0.0748657654166167	0
ENSMUSG00000000215	Ins2	1422446_x_at	0.565504382874175	-0.855222166159086	-0.1	NA	-0.0464057145730762	0
ENSMUSG00000000216	Scnn1g	1419079_at	NA	-0.642627958078178	-0.1	NA	-1.04006117190649	-0.1
ENSMUSG00000000244	Tspan32	1418398_a_at	NA	-0.671855100099496	-0.1	NA	0.850180970516459	0.1
ENSMUSG00000000247	Lhx2	1418317_at	NA	-0.483654190741343	-0.1	NA	-1.19237779024006	-0.1
ENSMUSG00000000248	Clec2g	1450317_at	NA	-1.17491769486973	-0.1	NA	-0.37495129167092	0
ENSMUSG00000000253	Gmpr	1448530_at	NA	1.43740509422638	0.2	NA	-2.12292210875006	-0.2
ENSMUSG00000000263	Glra1	1422277_at	NA	-0.484799482962721	-0.1	NA	-0.0200092143881656	0
ENSMUSG00000000266	Mid2	1422216_at	NA	-0.964701813376428	-0.1	0.450473791092325	1.04015840279204	0.1
ENSMUSG00000000275	Trim25	1419879_s_at	0.005499280471639	4.7917401220815	0.5	NA	-2.60830830540883	-0.2
ENSMUSG00000000276	Dgke	1436547_at	NA	-2.37644233404582	-0.3	NA	-0.463012213625371	0
ENSMUSG00000000278	Scpep1	1426555_at	NA	-3.01156012020394	-0.3	0.000219684404630278	7.79252253340154	0.7
ENSMUSG00000000282	Mnt	1418192_at	NA	0.625363529887105	0.1	NA	-0.124650530678427	0
ENSMUSG00000000290	Itgb2	1450678_at	2.73719010426375e-05	-13.9253849534464	-1.5	NA	-0.615370348954637	-0.1
ENSMUSG00000000295	Hddc2	1428823_at	NA	-0.921575763528246	-0.1	0.0539795352123971	2.64960670132377	0.3
ENSMUSG00000000296	Tpd52l1	1418412_at	0.0171808434435655	-3.72122008672484	-0.6	NA	-2.39232563053943	-0.2
ENSMUSG00000000301	Pemt	1450612_a_at	NA	-1.08028647213883	-0.2	NA	-2.11823977942789	-0.2
ENSMUSG00000000303	Cdh1	1448261_at	NA	-1.74453494355607	-0.2	NA	-0.726514402481291	-0.1
ENSMUSG00000000305	Cdh4	1449422_at	NA	-1.1108506527588	-0.1	NA	0.776756005421637	0.1
ENSMUSG00000000308	Ckmt1	1432418_a_at	NA	-0.945575072911576	-0.1	0.806502351143364	-0.372887604498472	0
ENSMUSG00000000317	Bcl6b	1418421_at	NA	-0.43578881482641	-0.1	NA	-0.45314612879815	0
ENSMUSG00000000318	Clec10a	1419605_at	0.587072104378544	-0.809660280785613	-0.1	0.958652088597555	0.0754967286015813	0
ENSMUSG00000000320	Alox12	1422699_at	0.96257219459513	-0.0841074016641104	0	NA	-0.964546488066337	-0.1
ENSMUSG00000000325	Arvcf	1450855_at	NA	0.861134962610691	0.1	0.399519296268282	1.15137726288876	0.1
ENSMUSG00000000326	Comt	1449183_at	NA	-1.64216508534374	-0.2	NA	1.41872932709111	0.1
ENSMUSG00000000339	Rtca	1424095_at	NA	-1.52243373153973	-0.2	NA	0.121065975761168	0
ENSMUSG00000000340	Dbt	1449118_at	0.368821046839128	-1.28575907577032	-0.2	0.541826311437628	0.858965675752925	0.1
