Gene ID	Gene Name	DesignElementAccession	VSD-DM_pSuperR-2MB	VSD-DM_pSuperR-3MB	VSD-GM_pSuperR_p68-1MB	VSD-DM_pSuperR_p68-3MB	VSD-DM_pSuperR_p68-2MB	VSD-GM_pSuperR-3MB	VSD-DM_pSuperR_p68-1MB	VSD-GM_pSuperR-2MB	VSD-GM_pSuperR_p68-3MB	VSD-DM_pSuperR-1MB	VSD-GM_pSuperR_p68-2MB	VSD-GM_pSuperR-1MB
ENSMUSG00000000037	Scml2	1456984_at	3.84055461667889	4.31752507580602	4.31997390604897	4.20362457518263	4.23784092411109	4.06752756116221	4.3096874344667	4.20362457518263	4.1780476080403	4.23622402724036	4.24552055966607	4.13436914879767
ENSMUSG00000000078	Klf6	1447448_s_at	4.63761817130214	4.38508084352239	6.08457984378517	4.70759688562912	4.50289890397044	5.39108014954896	4.42930290824644	5.6767837945368	5.49291292809458	4.91728696569679	5.53448016658076	5.49784687479226
ENSMUSG00000000085	Scmh1	1439554_at	3.24594138596177	3.25239576486367	3.30730731927224	3.09218784425293	3.40824919023386	3.59949895501825	3.32103876485806	3.36284097337581	3.42495028399226	3.29350463046151	3.47367685770655	3.4208483200219
ENSMUSG00000000094	Tbx4	1456033_at	5.01182894345922	5.2075022432747	5.00344032608218	5.15215491593652	5.05614873958131	4.82605751768389	4.92901847940516	5.01188337426855	5.10390635946044	5.15788728260355	4.93610905007843	4.82278208040929
ENSMUSG00000000126	Wnt9a	1436978_at	7.46623574977578	8.0042656405836	6.09038949729348	7.15440631592017	7.41208336796669	6.33305968711797	7.13913043568083	6.44262827816064	5.86889225601397	7.81096659487659	6.16876641218473	6.38032988982468
ENSMUSG00000000134	Tfe3	1434318_a_at	7.74817534316309	8.00133827092682	8.97016046029889	8.26063222478226	8.08634780044037	8.84333957456018	7.97169614208661	8.68562072040899	8.60811957818796	7.86547459286586	8.76452305774313	8.61802781418966
ENSMUSG00000000157	Itgb2l	1433053_at	6.46925161494409	6.7380469151829	6.57041405848348	6.7508600767973	6.70609275184203	6.62722123740092	6.61399108499365	6.56908839072493	6.59656970732272	6.61023833360406	6.36736670160473	6.64747481779697
ENSMUSG00000000167	Pih1d2	1429936_at	3.00278573297512	3.25928506135843	3.41812229363454	2.97564017709068	3.16769613769941	3.32692224248576	3.06522120068165	3.20647651005878	3.17250127943676	3.05757349839222	3.24562803721613	3.05718179628234
ENSMUSG00000000194	Gpr107	1434086_at	8.26748414469801	8.82553796506724	8.66519187355225	8.51811255634605	8.60176133014815	8.58367176678473	8.49821421597226	8.64928506558231	8.59326551572098	8.72555517363848	8.57744920365541	8.55546963312296
ENSMUSG00000000197	Nalcn	1448083_at	3.3431014560126	3.27554907586045	3.06496787158706	3.42355558157913	3.18421466603446	3.22464283518144	3.26090172081014	3.30712001052936	3.40788123615196	3.16902543841066	3.18257920667072	3.32569056517805
