identifier,name,category
mitotic cytokinesis,GO:0000281,
cyclin-dependent protein kinase holoenzyme complex,GO:0000307,
double-strand break repair via break-induced replication,GO:0000727,
"chromosome, centromeric region",GO:0000775,
kinetochore,GO:0000776,
condensed chromosome kinetochore,GO:0000777,
spindle pole,GO:0000922,
aminoacyl-tRNA ligase activity,GO:0004812,
extracellular matrix structural constituent,GO:0005201,
glycosaminoglycan binding,GO:0005539,
basement membrane,GO:0005604,
spindle,GO:0005819,
DNA replication,GO:0006260,
tRNA aminoacylation for protein translation,GO:0006418,
fatty acid metabolic process,GO:0006631,
regulation of muscle contraction,GO:0006937,
mitotic spindle assembly checkpoint,GO:0007094,
heparin binding,GO:0008201,
steroid metabolic process,GO:0008202,
cellular amino acid biosynthetic process,GO:0008652,
positive regulation of cell-substrate adhesion,GO:0010811,
actin cytoskeleton,GO:0015629,
sterol biosynthetic process,GO:0016126,
ligase activity,GO:0016874,
myofibril,GO:0030016,
sarcomere,GO:0030017,
extracellular matrix structural constituent conferring tensile strength,GO:0030020,
extracellular matrix organization,GO:0030198,
negative regulation of cell migration,GO:0030336,
midbody,GO:0030496,
epithelial cell differentiation,GO:0030855,
endoplasmic reticulum unfolded protein response,GO:0030968,
extracellular matrix,GO:0031012,
cellular response to amino acid starvation,GO:0034198,
positive regulation of nitric oxide biosynthetic process,GO:0045429,
muscle fiber development,GO:0048747,
actin filament binding,GO:0051015,
cellular response to amino acid stimulus,GO:0071230,
insulin-like growth factor binding,GO:0005520,
mitochondrial matrix,GO:0005759,
translation,GO:0006412,
electron transport chain,GO:0022900,
respirasome,GO:0070469,
cellular oxidant detoxification,GO:0098869,
