identifier,symbol,name,organism,taxonomy
ENSMUSG00000000001,Gnai3,,Mus musculus,10090
ENSMUSG00000000003,Pbsn,,Mus musculus,10090
ENSMUSG00000000028,Cdc45,,Mus musculus,10090
ENSMUSG00000000031,H19,,Mus musculus,10090
ENSMUSG00000000037,Scml2,,Mus musculus,10090
ENSMUSG00000000049,Apoh,,Mus musculus,10090
ENSMUSG00000000056,Narf,,Mus musculus,10090
ENSMUSG00000000058,Cav2,,Mus musculus,10090
ENSMUSG00000000078,Klf6,,Mus musculus,10090
ENSMUSG00000000085,Scmh1,,Mus musculus,10090
ENSMUSG00000000088,Cox5a,,Mus musculus,10090
ENSMUSG00000000093,Tbx2,,Mus musculus,10090
ENSMUSG00000000094,Tbx4,,Mus musculus,10090
ENSMUSG00000000103,Zfy2,,Mus musculus,10090
ENSMUSG00000000120,Ngfr,,Mus musculus,10090
ENSMUSG00000000125,Wnt3,,Mus musculus,10090
ENSMUSG00000000126,Wnt9a,,Mus musculus,10090
ENSMUSG00000000127,Fer,,Mus musculus,10090
ENSMUSG00000000131,Xpo6,,Mus musculus,10090
ENSMUSG00000000142,Axin2,,Mus musculus,10090
ENSMUSG00000000148,Brat1,,Mus musculus,10090
ENSMUSG00000000149,Gna12,,Mus musculus,10090
ENSMUSG00000000154,Slc22a18,,Mus musculus,10090
ENSMUSG00000000157,Itgb2l,,Mus musculus,10090
ENSMUSG00000000159,Igsf5,,Mus musculus,10090
ENSMUSG00000000168,Dlat,,Mus musculus,10090
ENSMUSG00000000171,Sdhd,,Mus musculus,10090
ENSMUSG00000000182,Fgf23,,Mus musculus,10090
ENSMUSG00000000183,Fgf6,,Mus musculus,10090
ENSMUSG00000000184,Ccnd2,,Mus musculus,10090
ENSMUSG00000000202,Btbd17,,Mus musculus,10090
ENSMUSG00000000204,Slfn4,,Mus musculus,10090
ENSMUSG00000000214,Th,,Mus musculus,10090
ENSMUSG00000000215,Ins2,,Mus musculus,10090
ENSMUSG00000000216,Scnn1g,,Mus musculus,10090
ENSMUSG00000000244,Tspan32,,Mus musculus,10090
ENSMUSG00000000247,Lhx2,,Mus musculus,10090
ENSMUSG00000000248,Clec2g,,Mus musculus,10090
ENSMUSG00000000253,Gmpr,,Mus musculus,10090
ENSMUSG00000000263,Glra1,,Mus musculus,10090
ENSMUSG00000000266,Mid2,,Mus musculus,10090
ENSMUSG00000000275,Trim25,,Mus musculus,10090
ENSMUSG00000000276,Dgke,,Mus musculus,10090
ENSMUSG00000000278,Scpep1,,Mus musculus,10090
ENSMUSG00000000282,Mnt,,Mus musculus,10090
ENSMUSG00000000290,Itgb2,,Mus musculus,10090
ENSMUSG00000000295,Hddc2,,Mus musculus,10090
ENSMUSG00000000296,Tpd52l1,,Mus musculus,10090
ENSMUSG00000000301,Pemt,,Mus musculus,10090
ENSMUSG00000000303,Cdh1,,Mus musculus,10090
ENSMUSG00000000305,Cdh4,,Mus musculus,10090
ENSMUSG00000000308,Ckmt1,,Mus musculus,10090
ENSMUSG00000000317,Bcl6b,,Mus musculus,10090
ENSMUSG00000000318,Clec10a,,Mus musculus,10090
ENSMUSG00000000320,Alox12,,Mus musculus,10090
