from,to
E-GEOD-5305-g1_g3,E-GEOD-5305_g1_g3_mitotic cytokinesis
E-GEOD-5305-g1_g3,E-GEOD-5305_g1_g3_cyclin-dependent protein kinase holoenzyme complex
E-GEOD-5305-g1_g3,E-GEOD-5305_g1_g3_double-strand break repair via break-induced replication
E-GEOD-5305-g1_g3,"E-GEOD-5305_g1_g3_chromosome, centromeric region"
E-GEOD-5305-g1_g3,E-GEOD-5305_g1_g3_kinetochore
E-GEOD-5305-g1_g3,E-GEOD-5305_g1_g3_condensed chromosome kinetochore
E-GEOD-5305-g1_g3,E-GEOD-5305_g1_g3_spindle pole
E-GEOD-5305-g1_g3,E-GEOD-5305_g1_g3_aminoacyl-tRNA ligase activity
E-GEOD-5305-g1_g3,E-GEOD-5305_g1_g3_extracellular matrix structural constituent
E-GEOD-5305-g1_g3,E-GEOD-5305_g1_g3_glycosaminoglycan binding
E-GEOD-5305-g1_g3,E-GEOD-5305_g1_g3_basement membrane
E-GEOD-5305-g1_g3,E-GEOD-5305_g1_g3_spindle
E-GEOD-5305-g1_g3,E-GEOD-5305_g1_g3_DNA replication
E-GEOD-5305-g1_g3,E-GEOD-5305_g1_g3_tRNA aminoacylation for protein translation
E-GEOD-5305-g1_g3,E-GEOD-5305_g1_g3_fatty acid metabolic process
E-GEOD-5305-g1_g3,E-GEOD-5305_g1_g3_regulation of muscle contraction
E-GEOD-5305-g1_g3,E-GEOD-5305_g1_g3_mitotic spindle assembly checkpoint
E-GEOD-5305-g1_g3,E-GEOD-5305_g1_g3_heparin binding
E-GEOD-5305-g1_g3,E-GEOD-5305_g1_g3_steroid metabolic process
E-GEOD-5305-g1_g3,E-GEOD-5305_g1_g3_cellular amino acid biosynthetic process
E-GEOD-5305-g1_g3,E-GEOD-5305_g1_g3_positive regulation of cell-substrate adhesion
E-GEOD-5305-g1_g3,E-GEOD-5305_g1_g3_actin cytoskeleton
E-GEOD-5305-g1_g3,E-GEOD-5305_g1_g3_sterol biosynthetic process
E-GEOD-5305-g1_g3,E-GEOD-5305_g1_g3_ligase activity
E-GEOD-5305-g1_g3,E-GEOD-5305_g1_g3_myofibril
E-GEOD-5305-g1_g3,E-GEOD-5305_g1_g3_sarcomere
E-GEOD-5305-g1_g3,E-GEOD-5305_g1_g3_extracellular matrix structural constituent conferring tensile strength
E-GEOD-5305-g1_g3,E-GEOD-5305_g1_g3_extracellular matrix organization
E-GEOD-5305-g1_g3,E-GEOD-5305_g1_g3_negative regulation of cell migration
E-GEOD-5305-g1_g3,E-GEOD-5305_g1_g3_midbody
E-GEOD-5305-g1_g3,E-GEOD-5305_g1_g3_epithelial cell differentiation
E-GEOD-5305-g1_g3,E-GEOD-5305_g1_g3_endoplasmic reticulum unfolded protein response
E-GEOD-5305-g1_g3,E-GEOD-5305_g1_g3_extracellular matrix
E-GEOD-5305-g1_g3,E-GEOD-5305_g1_g3_cellular response to amino acid starvation
E-GEOD-5305-g1_g3,E-GEOD-5305_g1_g3_positive regulation of nitric oxide biosynthetic process
E-GEOD-5305-g1_g3,E-GEOD-5305_g1_g3_muscle fiber development
E-GEOD-5305-g1_g3,E-GEOD-5305_g1_g3_actin filament binding
E-GEOD-5305-g1_g3,E-GEOD-5305_g1_g3_cellular response to amino acid stimulus
E-GEOD-5305-g2_g4,E-GEOD-5305_g2_g4_aminoacyl-tRNA ligase activity
E-GEOD-5305-g2_g4,E-GEOD-5305_g2_g4_insulin-like growth factor binding
E-GEOD-5305-g2_g4,E-GEOD-5305_g2_g4_mitochondrial matrix
E-GEOD-5305-g2_g4,E-GEOD-5305_g2_g4_translation
E-GEOD-5305-g2_g4,E-GEOD-5305_g2_g4_tRNA aminoacylation for protein translation
E-GEOD-5305-g2_g4,E-GEOD-5305_g2_g4_ligase activity
E-GEOD-5305-g2_g4,E-GEOD-5305_g2_g4_electron transport chain
E-GEOD-5305-g2_g4,E-GEOD-5305_g2_g4_respirasome
E-GEOD-5305-g2_g4,E-GEOD-5305_g2_g4_cellular oxidant detoxification
E-GEOD-5305-g2_g4,E-GEOD-5305_g2_g4_Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template
E-GEOD-5305-g2_g4,E-GEOD-5305_g2_g4_Recognition of DNA damage by PCNA-containing replication complex
E-GEOD-5305-g2_g4,E-GEOD-5305_g2_g4_Resolution of AP sites via the multiple-nucleotide patch replacement pathway
E-GEOD-5305-g2_g4,E-GEOD-5305_g2_g4_The citric acid (TCA) cycle and respiratory electron transport
E-GEOD-5305-g2_g4,E-GEOD-5305_g2_g4_Glutathione conjugation
E-GEOD-5305-g2_g4,E-GEOD-5305_g2_g4_Telomere Maintenance
E-GEOD-5305-g2_g4,E-GEOD-5305_g2_g4_Metabolism of nucleotides
E-GEOD-5305-g2_g4,"E-GEOD-5305_g2_g4_Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins."
E-GEOD-5305-g2_g4,E-GEOD-5305_g2_g4_mTOR signalling
E-GEOD-5305-g2_g4,E-GEOD-5305_g2_g4_Autodegradation of Cdh1 by Cdh1:APC/C
E-GEOD-5305-g2_g4,E-GEOD-5305_g2_g4_APC/C-mediated degradation of cell cycle proteins
E-GEOD-5305-g2_g4,E-GEOD-5305_g2_g4_APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1
E-GEOD-5305-g2_g4,E-GEOD-5305_g2_g4_Glutathione synthesis and recycling
E-GEOD-5305-g2_g4,E-GEOD-5305_g2_g4_Telomere C-strand (Lagging Strand) Synthesis
E-GEOD-5305-g2_g4,E-GEOD-5305_g2_g4_Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins
E-GEOD-5305-g2_g4,E-GEOD-5305_g2_g4_Extension of Telomeres
E-GEOD-5305-g2_g4,E-GEOD-5305_g2_g4_Keratan sulfate degradation
E-GEOD-5305-g2_g4,E-GEOD-5305_g2_g4_Cell surface interactions at the vascular wall
E-GEOD-5305-g2_g4,E-GEOD-5305_g2_g4_Biological oxidations
E-GEOD-5305-g2_g4,E-GEOD-5305_g2_g4_Regulation of mRNA stability by proteins that bind AU-rich elements
E-GEOD-5305-g2_g4,E-GEOD-5305_g2_g4_Regulation of mitotic cell cycle
E-GEOD-5305-g2_g4,E-GEOD-5305_g2_g4_Positive epigenetic regulation of rRNA expression
E-GEOD-5305-g2_g4,E-GEOD-5305_g2_g4_B-WICH complex positively regulates rRNA expression
E-GEOD-5305-g2_g4,E-GEOD-5305_g2_g4_Mismatch repair (MMR) directed by MSH2:MSH3 (MutSbeta)
E-GEOD-5305-g2_g4,E-GEOD-5305_g2_g4_Mitochondrial translation
E-GEOD-5305-g2_g4,E-GEOD-5305_g2_g4_Mitochondrial translation elongation
E-GEOD-5305-g2_g4,E-GEOD-5305_g2_g4_Mitochondrial translation termination
E-GEOD-5305-g2_g4,E-GEOD-5305_g2_g4_PCNA-Dependent Long Patch Base Excision Repair
E-GEOD-5305-g2_g4,E-GEOD-5305_g2_g4_Gap-filling DNA repair synthesis and ligation in GG-NER
E-GEOD-5305-g2_g4,E-GEOD-5305_g2_g4_Nucleotide Excision Repair
E-GEOD-5305-g2_g4,E-GEOD-5305_g2_g4_Global Genome Nucleotide Excision Repair (GG-NER)
E-GEOD-5305-g2_g4,E-GEOD-5305_g2_g4_Dual Incision in GG-NER
E-GEOD-5305-g2_g4,E-GEOD-5305_g2_g4_Respiratory electron transport
E-GEOD-5305-g2_g4,E-GEOD-5305_g2_g4_Transcription-Coupled Nucleotide Excision Repair (TC-NER)
E-GEOD-5305-g2_g4,E-GEOD-5305_g2_g4_Dual incision in TC-NER
E-GEOD-5305-g2_g4,E-GEOD-5305_g2_g4_Gap-filling DNA repair synthesis and ligation in TC-NER
E-GEOD-5305-g2_g4,E-GEOD-5305_g2_g4_Complex I biogenesis
E-GEOD-5305-g2_g4,E-GEOD-5305_g2_g4_Lagging Strand Synthesis
E-GEOD-5305-g2_g4,E-GEOD-5305_g2_g4_DNA strand elongation
E-GEOD-5305-g2_g4,E-GEOD-5305_g2_g4_Synthesis of DNA
E-GEOD-5305-g2_g4,E-GEOD-5305_g2_g4_S Phase
E-GEOD-5305-g2_g4,E-GEOD-5305_g2_g4_DNA Replication
E-GEOD-5305-g2_g4,E-GEOD-5305_g2_g4_Translation
E-GEOD-5305-g2_g4,E-GEOD-5305_g2_g4_RNA Polymerase I Transcription Initiation
E-GEOD-5305-g2_g4,E-GEOD-5305_g2_g4_RNA Polymerase I Promoter Escape
E-GEOD-5305-g2_g4,E-GEOD-5305_g2_g4_RNA Polymerase I Transcription Termination
E-GEOD-5305-g2_g4,E-GEOD-5305_g2_g4_Base Excision Repair
E-GEOD-5305-g2_g4,E-GEOD-5305_g2_g4_DNA Damage Bypass
E-GEOD-5305-g2_g4,E-GEOD-5305_g2_g4_DNA Repair
E-GEOD-5305-g2_g4,E-GEOD-5305_g2_g4_Resolution of Abasic Sites (AP sites)
E-GEOD-5305-g1_g3,E-GEOD-5305_g1_g3_Amplification of signal from the kinetochores
E-GEOD-5305-g1_g3,E-GEOD-5305_g1_g3_Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal
E-GEOD-5305-g1_g3,E-GEOD-5305_g1_g3_Collagen degradation
E-GEOD-5305-g1_g3,E-GEOD-5305_g1_g3_Collagen formation
E-GEOD-5305-g1_g3,E-GEOD-5305_g1_g3_Collagen biosynthesis and modifying enzymes
E-GEOD-5305-g1_g3,E-GEOD-5305_g1_g3_Cholesterol biosynthesis
E-GEOD-5305-g1_g3,E-GEOD-5305_g1_g3_Assembly of collagen fibrils and other multimeric structures
E-GEOD-5305-g1_g3,E-GEOD-5305_g1_g3_Separation of Sister Chromatids
E-GEOD-5305-g1_g3,E-GEOD-5305_g1_g3_Resolution of Sister Chromatid Cohesion
E-GEOD-5305-g1_g3,E-GEOD-5305_g1_g3_Mitotic Metaphase and Anaphase
E-GEOD-5305-g1_g3,E-GEOD-5305_g1_g3_Striated Muscle Contraction
