from,to,log2fc,adj_p_value
E-GEOD-5305-g1_g3,ENSMUSG00000000001,0.8,0.0568411641079271
E-GEOD-5305-g1_g3,ENSMUSG00000000028,0.4,0.0396462123647264
E-GEOD-5305-g1_g3,ENSMUSG00000000058,0.5,0.0164640868028289
E-GEOD-5305-g1_g3,ENSMUSG00000000131,0.3,0.0550535206330793
E-GEOD-5305-g1_g3,ENSMUSG00000000149,0.3,0.0579655048024834
E-GEOD-5305-g1_g3,ENSMUSG00000000168,-0.6,0.0119985581139819
E-GEOD-5305-g1_g3,ENSMUSG00000000184,-0.9,0.0002088473383569
E-GEOD-5305-g1_g3,ENSMUSG00000000275,0.5,0.005499280471639
E-GEOD-5305-g1_g3,ENSMUSG00000000290,-1.5,2.73719010426375e-05
E-GEOD-5305-g1_g3,ENSMUSG00000000296,-0.6,0.0171808434435655
E-GEOD-5305-g1_g3,ENSMUSG00000000399,-0.4,0.0115000260380724
E-GEOD-5305-g1_g3,ENSMUSG00000000435,0.5,0.0475790294724452
E-GEOD-5305-g1_g3,ENSMUSG00000000489,0.4,0.0249134246139049
E-GEOD-5305-g1_g3,ENSMUSG00000000552,0.6,0.0140737279925787
E-GEOD-5305-g1_g3,ENSMUSG00000000568,0.5,0.0313336494038964
E-GEOD-5305-g1_g3,ENSMUSG00000000628,-1.6,4.36817574359282e-05
E-GEOD-5305-g1_g3,ENSMUSG00000000693,0.4,0.0396598017960349
E-GEOD-5305-g1_g3,ENSMUSG00000000751,0.5,0.0076598677000609
E-GEOD-5305-g1_g3,ENSMUSG00000000881,0.4,0.0424239801588826
E-GEOD-5305-g1_g3,ENSMUSG00000000901,-0.4,0.0568413650993419
E-GEOD-5305-g1_g3,ENSMUSG00000000934,-0.6,0.0049953483558248
E-GEOD-5305-g1_g3,ENSMUSG00000000957,0.6,0.0015011161493607
E-GEOD-5305-g1_g3,ENSMUSG00000000958,-0.3,0.0778721819082516
E-GEOD-5305-g1_g3,ENSMUSG00000001025,0.9,0.0004571972368447
E-GEOD-5305-g1_g3,ENSMUSG00000001056,-0.5,0.0042678244065211
E-GEOD-5305-g1_g3,ENSMUSG00000001082,0.4,0.0493214525934492
E-GEOD-5305-g1_g3,ENSMUSG00000001098,0.4,0.0175257325895539
E-GEOD-5305-g1_g3,ENSMUSG00000001105,0.5,0.0106099605917427
E-GEOD-5305-g1_g3,ENSMUSG00000001119,0.8,0.0005319529302653
E-GEOD-5305-g1_g3,ENSMUSG00000001123,0.7,0.0068387280892221
E-GEOD-5305-g1_g3,ENSMUSG00000001131,0.3,0.0761231108784306
E-GEOD-5305-g1_g3,ENSMUSG00000001158,0.4,0.029182799010112
E-GEOD-5305-g1_g3,ENSMUSG00000001211,-0.5,0.004692148565048
E-GEOD-5305-g1_g3,ENSMUSG00000001228,1.6,2.18398641465783e-05
E-GEOD-5305-g1_g3,ENSMUSG00000001288,0.5,0.0719353497318081
E-GEOD-5305-g1_g3,ENSMUSG00000001300,0.3,0.0635877444462285
E-GEOD-5305-g1_g3,ENSMUSG00000001403,1.4,2.94655399245127e-05
E-GEOD-5305-g1_g3,ENSMUSG00000001435,1.5,4.69073643805553e-05
E-GEOD-5305-g1_g3,ENSMUSG00000001440,0.4,0.01619019100958
E-GEOD-5305-g1_g3,ENSMUSG00000001441,0.3,0.0667410385884586
E-GEOD-5305-g1_g3,ENSMUSG00000001467,1.2,0.0034341640273396
E-GEOD-5305-g1_g3,ENSMUSG00000001506,0.5,0.0173139509999459
E-GEOD-5305-g1_g3,ENSMUSG00000001508,-0.6,0.0024488461736256
E-GEOD-5305-g1_g3,ENSMUSG00000001517,0.4,0.0635877444462285
E-GEOD-5305-g1_g3,ENSMUSG00000001525,0.9,0.000237777752502
E-GEOD-5305-g1_g3,ENSMUSG00000001552,0.4,0.0465836195731924
E-GEOD-5305-g1_g3,ENSMUSG00000001555,0.6,0.010427304714437
E-GEOD-5305-g1_g3,ENSMUSG00000001655,0.6,0.0020506540657519
E-GEOD-5305-g1_g3,ENSMUSG00000001687,-0.5,0.0111321884681268
E-GEOD-5305-g1_g3,ENSMUSG00000001707,-0.4,0.0872413679208056
E-GEOD-5305-g1_g3,ENSMUSG00000001750,0.5,0.0090617165794264
E-GEOD-5305-g1_g3,ENSMUSG00000001755,-0.3,0.0562107479825261
E-GEOD-5305-g1_g3,ENSMUSG00000001829,-0.7,0.0023888514933265
E-GEOD-5305-g1_g3,ENSMUSG00000001864,-0.8,0.0007678061684048
E-GEOD-5305-g1_g3,ENSMUSG00000001870,0.6,0.05182958380242
E-GEOD-5305-g1_g3,ENSMUSG00000001891,-0.6,0.0334768003727956
E-GEOD-5305-g1_g3,ENSMUSG00000001911,0.4,0.032533871278139
E-GEOD-5305-g1_g3,ENSMUSG00000001918,-0.6,0.0022132796108483
E-GEOD-5305-g1_g3,ENSMUSG00000001964,0.4,0.0167205949481208
E-GEOD-5305-g1_g3,ENSMUSG00000001999,0.5,0.0084113921426541
E-GEOD-5305-g1_g3,ENSMUSG00000002007,-0.6,0.0092291523101473
E-GEOD-5305-g1_g3,ENSMUSG00000002010,-0.5,0.004692148565048
E-GEOD-5305-g1_g3,ENSMUSG00000002015,-0.4,0.0140026885906674
E-GEOD-5305-g1_g3,ENSMUSG00000002031,0.3,0.0988997236134095
E-GEOD-5305-g1_g3,ENSMUSG00000002055,0.8,0.0005676206039394
E-GEOD-5305-g1_g3,ENSMUSG00000002058,0.5,0.0095903532128746
