from,to
E-GEOD-5305_g1_g3_mitotic cytokinesis,mitotic cytokinesis
E-GEOD-5305_g1_g3_cyclin-dependent protein kinase holoenzyme complex,cyclin-dependent protein kinase holoenzyme complex
E-GEOD-5305_g1_g3_double-strand break repair via break-induced replication,double-strand break repair via break-induced replication
"E-GEOD-5305_g1_g3_chromosome, centromeric region","chromosome, centromeric region"
E-GEOD-5305_g1_g3_kinetochore,kinetochore
E-GEOD-5305_g1_g3_condensed chromosome kinetochore,condensed chromosome kinetochore
E-GEOD-5305_g1_g3_spindle pole,spindle pole
E-GEOD-5305_g1_g3_aminoacyl-tRNA ligase activity,aminoacyl-tRNA ligase activity
E-GEOD-5305_g1_g3_extracellular matrix structural constituent,extracellular matrix structural constituent
E-GEOD-5305_g1_g3_glycosaminoglycan binding,glycosaminoglycan binding
E-GEOD-5305_g1_g3_basement membrane,basement membrane
E-GEOD-5305_g1_g3_spindle,spindle
E-GEOD-5305_g1_g3_DNA replication,DNA replication
E-GEOD-5305_g1_g3_tRNA aminoacylation for protein translation,tRNA aminoacylation for protein translation
E-GEOD-5305_g1_g3_fatty acid metabolic process,fatty acid metabolic process
E-GEOD-5305_g1_g3_regulation of muscle contraction,regulation of muscle contraction
E-GEOD-5305_g1_g3_mitotic spindle assembly checkpoint,mitotic spindle assembly checkpoint
E-GEOD-5305_g1_g3_heparin binding,heparin binding
E-GEOD-5305_g1_g3_steroid metabolic process,steroid metabolic process
E-GEOD-5305_g1_g3_cellular amino acid biosynthetic process,cellular amino acid biosynthetic process
E-GEOD-5305_g1_g3_positive regulation of cell-substrate adhesion,positive regulation of cell-substrate adhesion
E-GEOD-5305_g1_g3_actin cytoskeleton,actin cytoskeleton
E-GEOD-5305_g1_g3_sterol biosynthetic process,sterol biosynthetic process
E-GEOD-5305_g1_g3_ligase activity,ligase activity
E-GEOD-5305_g1_g3_myofibril,myofibril
E-GEOD-5305_g1_g3_sarcomere,sarcomere
E-GEOD-5305_g1_g3_extracellular matrix structural constituent conferring tensile strength,extracellular matrix structural constituent conferring tensile strength
E-GEOD-5305_g1_g3_extracellular matrix organization,extracellular matrix organization
E-GEOD-5305_g1_g3_negative regulation of cell migration,negative regulation of cell migration
E-GEOD-5305_g1_g3_midbody,midbody
E-GEOD-5305_g1_g3_epithelial cell differentiation,epithelial cell differentiation
E-GEOD-5305_g1_g3_endoplasmic reticulum unfolded protein response,endoplasmic reticulum unfolded protein response
E-GEOD-5305_g1_g3_extracellular matrix,extracellular matrix
E-GEOD-5305_g1_g3_cellular response to amino acid starvation,cellular response to amino acid starvation
E-GEOD-5305_g1_g3_positive regulation of nitric oxide biosynthetic process,positive regulation of nitric oxide biosynthetic process
E-GEOD-5305_g1_g3_muscle fiber development,muscle fiber development
E-GEOD-5305_g1_g3_actin filament binding,actin filament binding
E-GEOD-5305_g1_g3_cellular response to amino acid stimulus,cellular response to amino acid stimulus
E-GEOD-5305_g2_g4_aminoacyl-tRNA ligase activity,aminoacyl-tRNA ligase activity
E-GEOD-5305_g2_g4_insulin-like growth factor binding,insulin-like growth factor binding
E-GEOD-5305_g2_g4_mitochondrial matrix,mitochondrial matrix
E-GEOD-5305_g2_g4_translation,translation
E-GEOD-5305_g2_g4_tRNA aminoacylation for protein translation,tRNA aminoacylation for protein translation
E-GEOD-5305_g2_g4_ligase activity,ligase activity
E-GEOD-5305_g2_g4_electron transport chain,electron transport chain
E-GEOD-5305_g2_g4_respirasome,respirasome
E-GEOD-5305_g2_g4_cellular oxidant detoxification,cellular oxidant detoxification
