Gene ID	Gene Name	DesignElementAccession	VSD-GM_pSuperR-3MA	VSD-DM_pSuperR-1MA	VSD-GM_pSuperR-1MA	VSD-GM_pSuperR_p68-4MA	VSD-DM_pSuperR-2MA	VSD-DM_pSuperR_p68-3MA	VSD-DM_pSuperR-3MA	VSD-GM_pSuperR_p68-2MA	VSD-DM_pSuperR_p68-2MA	VSD-GM_pSuperR_p68-3MA	VSD-GM_pSuperR-4MA	VSD-DM_pSuperR_p68-1MA
ENSMUSG00000000001	Gnai3	1428645_at	8.03435316939581	8.43357682040517	8.28804773706699	8.36903251844777	8.02199138050175	8.49790296670549	7.12043073947242	8.40883991889815	8.52305435925239	8.27552773887326	8.48194596308324	8.85946716255059
ENSMUSG00000000003	Pbsn	1449320_at	3.22814608258821	3.19066736352889	3.10304557809471	3.0631727148104	3.07871279941546	3.12659773104938	3.27033109158385	3.19379927490527	3.12551634744064	3.30115449171885	3.42957718394833	3.19219305012881
ENSMUSG00000000028	Cdc45	1416575_at	8.07119727435641	6.09410229854119	8.15136978743654	7.80677129158142	6.52955108683955	6.90803428726337	6.64712820303312	8.08262671648052	6.90085378826731	7.84539523991437	8.21765794808568	6.79155965334576
ENSMUSG00000000031	H19	1448194_a_at	12.0118460320946	13.1734550952685	12.1280046053027	12.8396980965412	13.1412979357944	13.122430919778	13.4164819528771	12.7383518136786	13.1558861114604	12.7920455147731	12.1079274752706	13.2174817435734
ENSMUSG00000000037	Scml2	1421514_a_at	5.39339643581777	5.12497399900128	5.252635762648	5.08667591007086	5.07037149135016	5.36363425304819	5.48351570638872	5.26507908813408	5.26102799880732	5.18567159542131	5.21560431983773	5.36378063313503
ENSMUSG00000000049	Apoh	1416677_at	6.57365835369472	6.30942209505158	6.25657196862003	6.34523416865963	6.27387578899494	6.41580893249729	6.67650985488205	6.2959833427357	6.58694693473003	6.50309643182998	6.48254421926729	6.44722415956133
ENSMUSG00000000056	Narf	1451678_at	7.54584772548153	8.257376943527	7.44388793121699	7.72401887970338	8.33634165557942	8.3798541479549	8.17619835338504	7.26903781835598	8.27718411999013	7.78276096747836	7.59935189605585	8.32623871867268
ENSMUSG00000000058	Cav2	1417327_at	6.47583234951621	6.09831379216667	6.54533200894342	6.63781950988951	5.76577775595667	6.2702881741783	5.72858786321507	6.51194935340966	6.33187895630843	6.35432359634452	6.54306577951283	6.37513181391789
ENSMUSG00000000078	Klf6	1427742_a_at	7.18278902469818	6.87139238750931	7.22296949264129	7.18762803957685	6.99140448502393	6.80681998740617	6.94941169033632	7.162611326848	6.83626094422596	7.446227777298	7.24252690528141	6.88948164049823
ENSMUSG00000000085	Scmh1	1426241_a_at	8.27812862151514	7.50015530948561	8.27437790519171	8.47122171368455	7.6936301459933	7.7419424979407	7.76681893289113	8.49787334570796	7.6041142748996	8.36340776251572	8.15127749652875	7.59672494208274
ENSMUSG00000000088	Cox5a	1448153_at	12.2447312094827	12.3915098281172	12.1610611555577	12.1709346607726	12.5970332022867	12.4285771445793	12.5539008120764	12.0220064163268	12.358600914203	12.0348877820216	12.1485650935327	12.4436976786419
ENSMUSG00000000093	Tbx2	1422545_at	4.97428654723851	4.79579248516429	4.64451786046809	4.68831611203729	4.76625878765444	4.63917735609686	5.13031171805164	4.6757873937654	4.72284035262452	5.06957830092375	4.63196513820998	4.65804791267622
ENSMUSG00000000094	Tbx4	1426321_at	5.37046413735004	5.17681965607265	5.25722432497153	5.22122137452873	5.29564234301053	5.14129854483298	5.43517675421764	5.19033891650868	5.38952660473943	5.50763166889313	5.31599222829764	5.20411007552888
ENSMUSG00000000103	Zfy2	1449978_at	3.28196262609076	3.26566351416431	3.2867342093862	3.32492043362899	3.4173505710354	3.32895551454945	3.35777255554908	3.35345838225941	3.31700105149593	3.16372947880865	3.24404376413566	3.3899830808793
ENSMUSG00000000120	Ngfr	1454903_at	6.89747122661521	6.62074882389788	6.68012127565005	6.56896741744558	6.62077648269548	6.7163001185851	7.20301554211358	6.70685418234268	6.85496490530505	7.01949059147929	6.80278109928366	6.91950550384856
ENSMUSG00000000125	Wnt3	1450763_x_at	3.03900542531076	2.98544720908944	2.95926104912181	2.93037056648482	2.89532789551966	3.09266919089196	3.06336083048266	3.05887429663167	2.98271813096679	3.02316048769972	2.99441985221531	2.93062945043374
ENSMUSG00000000126	Wnt9a	1425889_at	5.34697526812096	5.49704421469476	4.95155333220239	4.92051889595979	6.12962503791884	5.78455508013451	6.21609349295879	4.94887199569114	5.55028246491236	5.2067499498917	5.15078955959036	5.45230455787245
ENSMUSG00000000127	Fer	1421729_a_at	6.87508813670551	7.27014224080049	6.96919549830554	6.97866939428279	7.15902657903513	7.08174665522259	7.015153448198	7.1072019758091	7.01424978680945	6.95709892604617	6.99740241530489	7.15666040417488
